conm,fyear,at,roe,return
MORETON RESOURCES LTD,2009,21.998,-0.161389854,-0.165217391
IPH LTD,2017,287.031,0.18588274,-0.165145944
ACCENT GROUP LTD,2011,53.215,0.20954279,-0.164966309
SCIDEV LIMITED,2005,11.879,-0.5575824,-0.164948454
WATPAC LTD,2017,534.803,-0.146034978,-0.164705882
BREAKER RESOURCES NL,2015,1.424,-0.513924777,-0.164556962
TASSAL GROUP,2010,420.072,0.12272565,-0.164556957
SPARC TECHNOLOGIES LTD-OLD,2009,0.924,-2.170350943,-0.164463247
SPICERS LTD,2012,1298.7,-0.413184875,-0.164383562
MINDAX LTD,2017,1.799,-0.526509912,-0.164275
SUPER RETAIL GROUP LTD,2017,1558.6,0.136497721,-0.164260471
DANKS HOLDINGS LTD,2005,134.081,0.084327303,-0.164221152
CHALICE MINING LTD,2012,55.665,-0.077000398,-0.163934426
PANAUST LTD,2012,1403.825,0.168052507,-0.163695118
DISCOVERY ALASKA LIMITED,2013,3.428,-0.318430204,-0.163636364
ANSILA ENERGY NL,2016,6.338,-1.201810817,-0.163636364
PLATINA RESOURCES LIMITED,2018,31.815,-0.013369848,-0.163636364
FARM PRIDE FOODS LTD,2018,73.959,0.010726891,-0.163461538
AZURE MINERALS LTD,2014,5.693,-0.667739988,-0.163333333
BREVILLE GROUP LTD,2004,278.8,0.152077948,-0.163063823
WARRNAMBOOL CHEESE & BUTTER,2006,177.158,0.080665847,-0.162874927
LIQUEFIED NATURAL GAS LTD,2011,12.269,-0.717122406,-0.162790698
DOME GOLD MINES LTD,2016,28.672,-0.050971495,-0.162790698
WAKENBY LTD,2013,34.301,0.052330796,-0.162783145
ORICA LTD,2014,8839.2,0.148472154,-0.162755923
SOUTHERN CROSS ELEC ENGR,2019,249.856,0.088034679,-0.162602108
AUKING MINING LTD,2011,19.357,-0.157242448,-0.162162162
PAYGROUP LTD,2018,14.628,-1.052040213,-0.161929199
TRIVARX LIMITED,2004,5.135,-0.45618943,-0.161904762
ELMO SOFTWARE LTD,2020,246.318,-0.158673741,-0.161904762
ICAR ASIA LTD,2015,45.114,-0.329500506,-0.161870742
ENVIRONMENTAL GROUP LTD,2007,14.999,-0.114342911,-0.161781076
KOLLAKORN CORPORATION LTD,2003,1.695,-1.92061742,-0.161764706
ANGEL SEAFOOD H,2020,26.131,0.047732855,-0.161764706
ARN MEDIA LIMITED,2016,1144.888,0.399569006,-0.161373589
LION ENERGY LTD,2011,9.708,-0.081285652,-0.161290323
CHALLENGER GOLD LTD,2016,5.385,-0.210653753,-0.161290323
AUSTRALIAN AGRICULTURAL PROJ,2017,13.205,0.078233996,-0.161290323
SUNSTONE METALS LTD,2019,28.823,-0.610549018,-0.161290323
HUTCHISON TELECOM AUSTRALIA,2014,514.797,-0.555569393,-0.16091954
SIMONDS GROUP LTD,2019,144.651,1.8877272,-0.16091954
DTI GROUP LTD,2021,10.87,0.004852014,-0.160872727
OPTHEA LTD,2011,24.502,-0.382708225,-0.160714286
BORA BORA RESOURCES LTD,2017,1.8,-0.343721634,-0.160714286
CARDNO LTD,2018,837.046,-0.025995725,-0.160714286
AINSWORTH GAME TECHNOLOGY,2016,435.982,0.186805595,-0.160636309
PROPHECY INTL HLDS LTD,2019,22.866,-0.082925817,-0.160493827
COMMANDER COMMUNICATIONS,2006,746.152,0.108228147,-0.160343328
BLACKMORES LTD,2008,116.874,0.406790498,-0.160139404
KELLY PARTNERS GRO,2018,44.489,0.329784432,-0.160103852
DANAE RESOURCES NL,2003,15.562,,-0.1600792
VOXSON LTD,2003,13.574,-0.779650162,-0.16
AF LEGAL GROUP LTD,2005,4.322,-0.1013269,-0.16
GALILEE ENERGY LTD,2006,16.808,0.188760069,-0.16
VOCUS GROUP LTD,2009,7.403,0.022927812,-0.16
BOSS ENERGY LIMITED,2010,1.35,-1.203047961,-0.16
CENTREX LIMITED,2011,108.15,0.801514359,-0.16
MINERAL COMMODITIES LTD,2011,16.251,-0.124081443,-0.16
CYCLONE METALS LTD,2012,397.258,0.065206101,-0.16
HYDROCARBON DYNAMICS LTD,2012,27.429,-0.165077999,-0.16
CYNATA THERAPEUTICS LTD,2013,1.793,-0.733680416,-0.16
CALIMA ENERGY LTD,2013,59.174,-0.138297512,-0.16
ALTERRA LTD,2014,16.77,-0.138370437,-0.16
CHALICE MINING LTD,2015,56.642,0.006212526,-0.16
RESOURCES AND ENERGY GROUP,2018,6.007,,-0.16
AURA ENERGY LTD,2018,20.625,-0.106856682,-0.16
ASSETOWL LTD,2020,2.519,-0.504476276,-0.159779532
PEPPERMINT INNOVATION LTD,2011,2.837,-0.62478997,-0.159734842
COBAR CONS RES LTD,2012,91.638,-0.074299337,-0.159722222
WOLF MINERALS LTD,2014,248.853,-0.028569351,-0.15942029
A2B AUSTRALIA LTD,2011,478.954,0.153322752,-0.159392865
REGIONAL EXPRESS HLDGS LTD,2016,271.867,-0.050050538,-0.159340659
ENERGY RESOURCES OF AUSTRALI,2001,810.699,0.026476511,-0.159309531
PRO-PAC PACKAGING LTD,2011,97.355,0.084107555,-0.159109313
EARTH SANCTUARIES LTD,2003,10.48,-0.113349774,-0.159090909
GRAVITY DIAMONDS LTD,2004,12.396,-0.141133755,-0.159090909
IMMURON LTD,2005,8.055,-0.242982136,-0.159090909
POINTERRA LTD,2018,2.138,-0.720294883,-0.159090909
HEALTH AND PLANT PROTEIN GRP,2020,73.598,-0.079236368,-0.159090909
CENTREBET INTL LTD,2008,97.55,0.238915623,-0.158880023
ANDEAN RESOURCES LTD,2008,71.356,-0.245013609,-0.158878505
ARDEA RESOURCES LTD,2020,33.497,-0.059074369,-0.158878505
SPEEDCAST INTERNATIONAL LTD,2016,737.049,0.037146925,-0.158862551
MAXIPARTS LIMITED,2011,146.699,0.046284018,-0.158854169
RED 5 LTD,2012,161.052,-0.012472154,-0.158741535
EMPEROR ENERGY LTD,2017,4.052,-0.4574044,-0.158706361
PALLA PHARMA LTD,2016,43.236,-0.894510192,-0.158696893
ST BARBARA LTD,2017,603.671,0.413715423,-0.158665625
ROC OIL CO LTD,2002,270.904,-0.10918793,-0.15862069
PRO MEDICUS LTD,2009,21.978,0.356446201,-0.15859118
RED RIVER RESOURCES LTD,2011,1.063,-0.573660714,-0.158536585
KONEKT LTD,2019,63.629,0.053855204,-0.158482142
REDFLEX HOLDINGS LTD,2018,130.538,-0.164557649,-0.158342105
INTERNATIONAL FERRO METALS,2014,3258.677,0.019587396,-0.158314351
SYDNEY ATTRACTIONS LTD,2001,32.936,0.369581281,-0.158226941
GOODMAN FIELDER LTD,2010,3082,0.09853211,-0.158204637
OVATO LTD,2008,842.549,0.236697127,-0.158115748
ANTIPA MINERALS LTD,2015,13.298,-0.052225993,-0.158015385
OROTON GROUP LTD,2012,67.071,0.754923347,-0.157925042
AXXIS TECHNOLOGY GROUP LTD,2013,20.21,-2.157933148,-0.15792
REGIS HEALTHCARE LTD,2017,1524.743,0.340983478,-0.157896032
MSM CORP INTL LTD,2003,158.033,-0.33495316,-0.157894737
GATEWAY MINING LTD,2003,7.488,-0.100420543,-0.157894737
KOLLAKORN CORPORATION LTD,2004,2.038,-0.383759005,-0.157894737
RECTIFIER TECHNOLOGIES LTD,2005,8.47,-0.289918256,-0.157894737
ELIXIR ENERGY LTD,2006,13.754,-0.463616153,-0.157894737
POLARIS METALS LTD,2006,5.015,-0.233109263,-0.157894737
ORION MINERALS LTD,2007,31.064,-0.049296646,-0.157894737
HIGHCOM LIMITED,2007,8.295,-0.485306267,-0.157894737
NGE CAPITAL LTD,2010,67.775,-0.045403482,-0.157894737
CLARITY OSS LTD,2013,36.309,,-0.157894737
COGENT DEVELOPMENT GROUP LTD,2013,7.486,-0.282365065,-0.157894737
KASBAH RESOURCES LTD,2013,26.304,-2.14406314,-0.157894737
AMBITION GROUP LTD,2013,19.418,-0.119893089,-0.157894737
TIGERS REALM COAL LTD,2013,179.59,-0.130827432,-0.157894737
ACCENT RESOURCES NL,2014,18.796,-0.133561213,-0.157894737
KORAB RESOURCES LTD,2014,2.698,-1.199317988,-0.157894737
MANDALONG RESOURCES LTD,2014,1.478,-0.297935986,-0.157894737
DATADOT TECHNOLOGY LTD,2016,8.197,-0.407462873,-0.157894737
PEPPERMINT INNOVATION LTD,2019,0.19,,-0.157894737
CONNEXION MOBILITY LTD,2020,5.746,0.976353928,-0.157894737
GOLDEN MILE RESOURCES,2020,1.301,-1.51855018,-0.157894737
CAULDRON ENERGY LTD,2021,4.217,-0.512428298,-0.157894737
PHOSCO LTD,2021,0.672,-1.992957746,-0.157894737
AUSCANN GROUP HOLDINGS LTD,2004,55.044,0.092558113,-0.157779601
INCITEC PIVOT LTD,2005,856.342,0.00695258,-0.157692043
LEGEND CORP LTD,2006,123.767,0.182428227,-0.157454227
REGIS HEALTHCARE LTD,2016,1346.912,0.24014179,-0.15743645
OVATO LTD,2003,623.492,0.117591828,-0.157407407
THORN GROUP LTD,2007,91.496,0.186751426,-0.157256929
TEN NETWORK HOLDINGS LTD,2007,1719.565,0.123750676,-0.157252605
VITA GROUP LIMITED,2021,272.242,0.197016846,-0.15718861
AGRIMIN LTD,2017,18.944,-0.074544929,-0.157178429
POSEIDON NICKEL LTD,2009,48.431,0.276637668,-0.157142857
ISELECT LTD,2019,226.067,-0.007672121,-0.157142857
ICAR ASIA LTD,2017,50.782,-0.27951193,-0.157112727
TRIANGLE ENERGY (GLOBAL) LTD,2019,28.33,-3.80798274,-0.156984615
EVOLUTION MINING LTD,2014,1109.523,0.064929611,-0.156770917
RECKON LTD,2019,85.42,0.443153617,-0.156533261
MEDICAL DEV INTL,2005,11.555,0.020031,-0.156503148
IRESS LTD,2017,671.555,0.147840168,-0.156444965
MACARTHUR COAL LTD,2003,314.134,0.079237575,-0.156373512
RP DATA LTD,2009,77.545,0.177985426,-0.156271778
STARPHARMA HLDGS LTD,2008,24.653,-0.324939814,-0.15625
DIATREME RESOURCES LTD,2008,18.23,-0.138394757,-0.15625
BIONOMICS LTD,2009,24.725,-0.341197822,-0.15625
METALS X LTD,2013,293.224,0.035643678,-0.15625
FITZROY RIVER CORP LTD,2020,7.744,-0.734488189,-0.15625
Q LTD,2006,4.377,-0.6727629,-0.156218145
DECMIL GROUP LTD,2014,505.744,0.18336838,-0.156191135
MAMBA MINERALS LTD,2010,0.344,-2.08974359,-0.1561
INTL ALL SPORTS LTD,2005,55.014,-0.180418935,-0.155844156
BRAVURA SOLUTIONS LTD,2020,434.845,0.133209346,-0.155776824
MINERAL RESOURCES LTD,2014,1858.218,0.218390229,-0.155764259
VONEX LTD,2010,54.058,0.001617083,-0.155555556
LUMIRA ENERGY LIMITED,2012,37.793,0.230602971,-0.155555556
YANCOAL AUSTRALIA LTD,2015,7869.7,-0.139480703,-0.155555556
BANNERMAN ENERGY LTD,2020,52.275,-0.039562963,-0.155555556
BOD SCIENCE LIMITED,2020,8.914,-1.401890909,-0.155555556
MUSGRAVE MINERALS LTD,2014,22.139,-0.201221406,-0.155172414
TEN NETWORK HOLDINGS LTD,2014,1088.502,-0.210346159,-0.155172414
HYGROVEST LTD,2019,95.66,0.289453426,-0.155172414
HELLOWORLD TRAVEL LTD,2011,813.085,0.060596959,-0.155136885
CLINUVEL PHARMACEUTICALS LTD,2015,13.644,-0.782037322,-0.155015198
INTEGRATED TREE CROPPING LTD,2005,406.075,0.148457613,-0.154990712
GENETIC SIGNATURES LTD,2021,54.047,0.036864038,-0.15497076
ANATOLIA ENERGY LTD,2015,25.678,-0.091406069,-0.154929577
GENETIC TECHNOLOGIES LTD,2006,33.717,-0.236875953,-0.154761905
FANTASTIC HOLDINGS LTD,2005,68.888,0.481835668,-0.154644988
SEDGMAN LIMITED,2014,255.957,-0.04506605,-0.154340272
CLEANAWAY WASTE MGMT LTD,2014,2733.4,-0.118548137,-0.15427188
HORIZON GOLD LTD,2021,36.444,-0.05274163,-0.154123559
ZENITAS HEALTHCARE LTD,2018,112.367,0.074772657,-0.154044346
VISION EYE INSTITUTE LTD,2009,258.522,0.102193752,-0.153987843
COCA-COLA AMATIL LTD,2017,6056.9,0.246436578,-0.15392805
COHIBA MINERALS LTD,2017,2.694,-0.534218885,-0.15392
COLORPAK LTD,2012,154.13,-0.046009296,-0.153871098
BURNS PHILP & CO LTD,2001,1860.8,0.486664834,-0.153846154
CHARIOT LTD,2005,23.841,-0.098733962,-0.153846154
CHEVIOT BRIDGE LTD,2006,40.82,0.015640527,-0.153846154
STRATHFIELD GROUP LTD,2008,55.291,-0.611426742,-0.153846154
LACHLAN STAR LTD,2009,11.965,-0.033964783,-0.153846154
ADVANCE ZINCTEK LTD,2009,16.574,0.145035676,-0.153846154
STRIKE ENERGY LTD,2010,55.611,-0.122868072,-0.153846154
WHITE CLIFF MINERALS LTD,2011,4.392,-1.041334043,-0.153846154
HUDSON RESOURCES LTD,2011,37.311,-0.10846982,-0.153846154
AUSTRAL GOLD LTD,2012,97.972,-0.408402478,-0.153846154
QUANTUM HEALTH GROUP LTD,2013,47.032,-0.011261299,-0.153846154
SPARTAN RESOURCES LIMITED,2013,23.531,-0.013754546,-0.153846154
RAREX LTD,2014,2.14,-0.403234802,-0.153846154
BURGUNDY DIAMOND MINES LTD,2014,7.559,-0.460138041,-0.153846154
NEARMAP LTD,2015,42.958,-0.036625276,-0.153846154
ECO SYSTEMS LTD,2015,0.919,,-0.153846154
BULLETPROOF GROUP LTD,2016,39.153,0.128094842,-0.153846154
BEONIC LIMITED,2017,8.131,-0.781170483,-0.153846154
ST GEORGE MINING LTD,2017,5.054,-2.282597126,-0.153846154
ABX GROUP LTD,2017,18.88,0.010468448,-0.153846154
LATIN RESOURCES LTD,2017,12.518,-0.538426763,-0.153846154
SUNBRIDGE GROUP LTD,2017,63.623,-0.005892305,-0.153846154
CYCLONE METALS LTD,2018,15.246,,-0.153846154
VOLT RESOURCES LTD,2018,24.374,-0.153447072,-0.153846154
LITHIUM AUSTRALIA LIMITED,2018,39.933,-0.32366125,-0.153846154
CATAPULT GROUP INTL,2018,184.429,-0.14357015,-0.153846154
MSL SOLUTIONS,2018,61.556,0.00210481,-0.153846154
LATAM AUTOS LTD,2018,34.964,-0.644462537,-0.153846154
AUSTRALIAN PACIFIC COAL LTD,2020,67.099,,-0.153846154
RBR GROUP LTD,2020,0.951,,-0.153846154
WEBJET LTD,2008,37.029,0.354904077,-0.153816695
UXC LTD,2014,425.593,0.075611169,-0.153631921
KAIROS MINERALS LTD,2006,7.808,0.42926491,-0.153605016
OROTON GROUP LTD,2008,47.256,0.684999898,-0.153575292
GREENCROSS LIMITED,2017,943.156,0.092497589,-0.153474023
ELMO SOFTWARE LTD,2021,316.545,-0.217432258,-0.153409091
WRIDGWAYS AUSTRALIA LTD,2008,38.087,0.468760419,-0.153230349
IONDRIVE LIMITED,2017,17.064,0.205393001,-0.153110049
ORORA LTD,2020,2500,0.020623949,-0.153073547
DAVID JONES LTD,2012,1240.897,0.129520928,-0.1529768
AMBITION GROUP LTD,2016,25.815,0.052765512,-0.152941178
CFK CHILDCARE CENTRES,2006,48.677,-0.155422446,-0.152941176
GREENCROSS LIMITED,2009,45.271,0.137150694,-0.152941176
SECOS GROUP LTD,2017,15.684,-0.567715853,-0.152941176
PYC THERAPEUTICS LTD,2015,1.786,-1.278205128,-0.152899925
PERSERVERANCE CORP,2004,83.361,-0.108530274,-0.152777778
METEORIC RESOURCES NL,2020,6.762,-1.603140774,-0.152542373
CRADLE RESOURCES LTD,2020,25.04,-0.021429144,-0.152542373
SACGASCO LTD,2010,1.352,-0.369144065,-0.152380952
LABYRINTH RESOURCES LIMITED,2014,52.294,-0.73608432,-0.152380952
HORIZON MINERALS LTD,2017,25.603,-0.023891935,-0.152380952
FIRST GRAPHENE LTD,2017,7.162,-0.789839622,-0.152380952
AFFINITY EDUCATION GROUP LTD,2014,196.063,-0.038605015,-0.15235069
REECE LTD,2011,958.017,0.18990096,-0.152302637
AUSTRALIAN VINTAGE LTD,2005,681.471,0.103454388,-0.152256283
OPTHEA LTD,2020,71.887,-0.344609034,-0.152238806
LIGHTING CORP LTD,2005,105.591,0.069377228,-0.152231012
AUSTRALIAN VINTAGE LTD,2019,446.012,0.027455368,-0.152180108
IRON ORE HLDGS LTD,2014,62.748,-0.285707691,-0.152173913
MC MINING LTD,2017,306.067,-0.068286559,-0.152173913
WESTERN YILGARN NL,2017,1.408,-1.96126176,-0.152173913
AEVUM LTD,2009,828.279,-0.045378826,-0.151824172
GALE PACIFIC LTD,2020,191.687,0.041654766,-0.151821135
OVATO LTD,2005,738.625,0.18022021,-0.151785714
MESOBLAST LTD,2013,883.712,-0.111193359,-0.151785714
K&S CORP LTD,2018,553.369,0.080352304,-0.151761198
AAT CORP LTD,2006,297.851,-0.061478872,-0.151650846
TANAMI GOLD NL,2005,17.882,-1.185107575,-0.151515152
NORTON GOLD FIELDS LTD,2006,12.439,-0.0714129,-0.151515152
JUMBO INTERACTIVE LTD,2007,10.116,-0.101148168,-0.151515152
ASIAN AMERICAN MEDICAL GROUP,2009,7.766,3.25210084,-0.151515152
CANNPAL ANIMAL THE,2019,3.358,-0.488143013,-0.151515152
FBR LTD,2020,57.856,-0.206831048,-0.151515152
RED RIVER RESOURCES LTD,2020,92.871,-0.12436926,-0.151515152
WATPAC LTD,2009,671.566,0.052401402,-0.151496613
HANCOCK & GORE LTD,2019,42.497,0.045620547,-0.15145452
GROUP 6 METALS LTD,2015,2.876,-1.457244129,-0.151307692
COMET RIDGE LTD,2012,47.63,0.08666902,-0.1512514
ALPHA HPA LTD,2009,5.254,-0.147362038,-0.151230486
CAPITOL HEALTH LTD,2019,188.115,0.253190863,-0.151193636
GREENCAP LTD,2009,82.502,0.156108979,-0.151182428
LANTHANEIN RESOURCES LIMITED,2004,1.358,-0.756089639,-0.151093244
FRUGL GROUP LTD,2016,4.794,-2.787180411,-0.150943396
PCH GROUP LTD,2006,108.136,0.317977882,-0.150864039
GWA GROUP LTD,2020,701.42,0.134305703,-0.150814553
CYCLONE METALS LTD,2014,213.878,-0.11055419,-0.150769238
QUESTE COMMUNICATIONS LTD,2019,2.955,-0.510985562,-0.150684932
FLEETWOOD LTD,2005,169.14,0.249253598,-0.150649286
WPP AUNZ LTD,2017,2084.671,0.087477637,-0.150610871
ARGONAUT RESOURCES NL,2002,0.408,,-0.150434085
SDI LTD,2006,52.051,0.173763981,-0.150362053
FOREST ENTERPRISES AUSTRALIA,2008,700.378,0.155320038,-0.150318043
PHILLIPS RIVER MINING LTD,2011,35.555,-0.096191852,-0.150068966
NEARMAP LTD,2002,7.392,-0.125073486,-0.15
DECIMAL SOFTWARE LTD,2003,2.249,-0.539524349,-0.15
PORTMAN LTD,2006,504.022,0.387068417,-0.15
EMPIRE ENERGY GROUP LTD,2007,21.117,-0.236964551,-0.15
ALGORAE PHARMACEUTICALS LTD,2007,3.817,-3.7453863,-0.15
NEW AGE EXPLORATION LTD,2008,1.642,-0.235532407,-0.15
ENGIN LTD,2009,9.653,-0.784086296,-0.15
ACCENT RESOURCES NL,2009,12.153,-0.117989397,-0.15
LEPIDICO LTD,2010,4.424,-0.069632495,-0.15
SWICK MINING SERVICES LTD,2011,131.965,0.044806903,-0.15
SIERRA MINING,2011,10.85,-0.458412513,-0.15
ENTERPRISE METALS LTD,2011,19.697,-0.163218265,-0.15
MCM ENTERTAINMENT GROUP LTD,2011,9.932,-0.502535078,-0.15
IMUGENE LTD,2012,1.318,-1.186967229,-0.15
CATALINA RESOURCES LTD,2012,8.966,-0.030370863,-0.15
LATIN RESOURCES LTD,2012,12.59,-5.042822276,-0.15
EV RESOURCES LIMITED,2014,0.081,,-0.15
EASTERN RESOURCES LIMITED,2014,7.269,-0.218234865,-0.15
SIPA RESOURCES LTD,2015,7.17,-0.68532012,-0.15
AUSTRALIAN DAIRY NUTRITIONAL,2015,32.687,-0.235735953,-0.15
GATEWAY MINING LTD,2016,10.75,-0.125052455,-0.15
HEARME OUT LTD,2018,1.031,0.185572687,-0.15
BOUNTY OIL & GAS NL,2021,11.335,-0.316104136,-0.15
IPH LTD,2020,739.108,0.154795225,-0.149988472
MACA LTD,2021,1008.841,0.068034247,-0.149892394
APN OUTDOOR GROUP LTD,2017,453.306,0.160590941,-0.149744935
TELSTRA GROUP LIMITED,2009,39962,0.333374258,-0.149567181
REGIONAL EXPRESS HLDGS LTD,2011,239.569,0.112996564,-0.149556058
DONGFANG MODERN AGRICULT,2018,3354.592,0.153928944,-0.14953271
COLORADO GROUP LTD,2005,174.089,0.263065609,-0.149490823
WHITEHAVEN COAL LIMITED,2014,4282.485,-0.011851875,-0.149253731
HEALTH AND PLANT PROTEIN GRP,2008,85.948,0.061464924,-0.149144709
EMU NL,2019,0.373,-10.99337748,-0.149000576
SIRTEX MEDICAL LTD,2005,20.012,-0.082515522,-0.14893617
ADELONG GOLD LIMITED,2012,1.151,-0.725750862,-0.14893617
NORTHERN MINERALS LTD,2015,8.268,-13.7814978,-0.14893617
PROTEOMICS INTERNATIONAL LAB,2017,2.889,-0.76301541,-0.14893617
GALENA MINING LIMI,2021,170.318,-0.051085017,-0.14893617
ADX ENERGY LTD,2010,21.817,-0.157681544,-0.148912
TRANSURBAN GROUP,2008,10590.108,-0.043325471,-0.148645201
TAMAWOOD LTD,2019,20.694,0.314767096,-0.148617235
TEMPEST MINERALS LTD,2020,1.29,-1.591718825,-0.148479151
BOUNTY OIL & GAS NL,2005,3.345,-1.083295609,-0.148148148
DUBBER CORP LTD,2006,12.443,-0.100716451,-0.148148148
BLACK RANGE MINERALS LTD,2011,18.76,-0.02933476,-0.148148148
ALLMINE GROUP LTD,2012,122.27,0.268436806,-0.148148148
SWICK MINING SERVICES LTD,2018,134.604,-0.01167399,-0.148148148
FIRSTWAVE CLOUD TECH LTD,2018,13.674,-1.641001506,-0.148148148
STRIKE RESOURCES LTD,2019,3.153,-0.476614133,-0.148148148
ICETANA LTD,2021,2.788,-0.952300191,-0.148148148
MOLOPO ENERGY LTD,2012,197.381,-0.230506038,-0.147887324
YOUNG AUSTRALIAN MINES LTD,2013,123.374,-0.059303783,-0.147826087
SHERWIN IRON LTD,2006,20.053,-0.136988537,-0.147756543
POLARX LTD,2005,9.622,0.070178587,-0.147727273
ARK MINES LTD,2015,0.989,-1.432677761,-0.147727273
SIPA RESOURCES LTD,2020,4.545,0.082983453,-0.147727273
WATPAC LTD,2011,721.766,0.055982006,-0.147578637
CYPRIUM METALS LTD,2004,19.6,-0.076744881,-0.147540984
PEAK MINERALS LTD,2005,5.683,-0.124710386,-0.147368421
FFI HOLDINGS LTD,2006,15.503,0.157740474,-0.147337615
PACIFIC SMILES GROUP LTD,2017,68.195,0.230056041,-0.147245319
QUINTIS LTD,2009,285.842,0.279762622,-0.147110379
INTEGRATED GREEN ENERGY SOLU,2002,63.638,-0.055643339,-0.147058824
HELIX RESOURCES NL,2005,13.543,-0.100452734,-0.147058824
CITIGOLD CORP LTD,2005,117.829,-0.07591993,-0.147058824
TASSAL GROUP,2020,1514.806,0.097140572,-0.146834383
HILLGROVE RESOURCES LTD,2010,253.48,-0.081405909,-0.146666667
SIRIUS RESOURCES NL,2001,38.428,-0.057843713,-0.146666663
MACA LTD,2014,432.21,0.251592646,-0.146581295
CLEANAWAY WASTE MGMT LTD,2015,2869.7,-0.013646104,-0.146504902
RAREX LTD,2016,2.046,-0.851329176,-0.1465
SUREFIRE RESOURCES NL,2004,1.33,-0.247885252,-0.146341463
CAP-XX,2009,7.749,-1.097058305,-0.146341463
MINT PAYMENTS LTD,2010,7.855,-0.917370892,-0.146341463
EDEN INNOVATIONS LTD,2017,22.981,-0.650966567,-0.146341463
88 ENERGY LTD,2017,81.56,-0.16242841,-0.146341463
LEAF RESOURCES LTD,2018,2.754,-3.933632287,-0.146341463
MARQUEE RESOURCES LTD,2020,5.433,-0.329970212,-0.146341463
ARCHTIS LTD,2021,30.251,-0.226119826,-0.146341463
CAPILANO HONEY LTD,2016,99.735,0.211984039,-0.146117238
PHOSLOCK ENVIRNMNTL TECH LTD,2018,27.483,-0.035074842,-0.146067416
MATADOR MINING LTD,2021,49.063,-0.105954453,-0.146067416
ONE NORTH ENTERTAINMENT LTD,2006,9.626,-0.26044148,-0.146046512
IPH LTD,2016,297.98,0.302291918,-0.145935985
QANTAS AIRWAYS LTD,2016,16705,0.307301777,-0.145843472
SIERRA RUTILE HOLDINGS LTD,2006,274.628,0.172056653,-0.145833333
BIOTRON LTD,2007,1.519,-1.105452059,-0.145833333
WPG RESOURCES LTD,2013,15.439,-0.293910973,-0.145833333
JINDALEE LITHIUM LIMITED,2014,7.515,-0.19513689,-0.145833333
CYGNUS METALS LIMITED,2019,5.45,-0.162621359,-0.145833333
DE GREY MINING LTD,2010,2.632,-0.263254113,-0.145454545
INTEGRA MINING LTD,2011,219.683,0.142165224,-0.145454545
EUMUNDI GROUP LTD,2012,51.719,0.010109903,-0.145454545
LIONHUB GROUP LTD,2015,26.404,-0.181879896,-0.145438235
SOUTHERN CROSS MEDIA GROUP,2017,1600.252,0.133153119,-0.145306525
AUZEX RESOURCES LTD,2007,12.245,-0.118773267,-0.145299145
WDS LIMITED,2008,184.991,0.291372775,-0.145187581
IINET LTD,2011,456.477,0.142680943,-0.145167065
SYNTONIC LTD,2012,0.838,-1.368051808,-0.14516129
MOLOPO ENERGY LTD,2010,227.123,0.01545961,-0.145087891
YANDAL RESOURCES LIMITED,2020,8.061,-0.074589315,-0.144955345
ALLIANCE NICKEL LIMITED,2011,33.599,-0.017835206,-0.144931648
DGL GROUP LIMITED,2003,13.315,-0.395084731,-0.144905664
WISR LTD,2010,13.963,0.042596748,-0.144711536
CAPILANO HONEY LTD,2017,96.349,0.175027097,-0.144689225
ORION METALS LTD,2009,1.681,-0.316403569,-0.144590909
RED 5 LTD,2015,182.689,-0.317402195,-0.144578313
LINCOLN MINERALS LTD,2012,15.426,-0.086843335,-0.144444444
CLEAN SEAS SEAFOOD LTD,2009,123.139,-0.183948104,-0.144238738
MACQUARIE MEDIA LTD,2016,248.494,0.084595915,-0.144238441
RECCE PHARMACEUTICALS LTD,2021,21.682,-1.184519635,-0.144104803
BRADKEN LTD,2008,597.121,0.337849845,-0.144088028
AUSGOLD LTD,2018,42.341,-0.030161551,-0.143989286
APA GROUP,2007,4237.934,0.064786126,-0.143896641
DGO GOLD LTD,2021,99.337,-0.090611226,-0.14375
BEACH ENERGY LTD,2009,1704.776,0.216609519,-0.143702107
CSR LTD,2010,2216,-0.053492439,-0.143674751
BLUECHIIP LTD,2016,1.857,-1.234904271,-0.143425806
PARAGON CARE LTD,2018,349.748,0.08662635,-0.143300299
WOTIF.COM HOLDINGS LTD,2011,253.173,0.584263866,-0.143232448
OAKTON LTD,2012,135.92,0.110866552,-0.143207906
INVESTORINFO LTD,2004,7.242,0.016881707,-0.143131034
SOMERTON ENERGY LTD,2008,3.912,-5.144203582,-0.143125
REVERSE CORP LTD,2018,9.303,-0.048868878,-0.142857154
AUSTRALIAN ENERGY LTD,2002,8.418,-2.748230536,-0.142857143
NEWSAT LTD,2002,13.932,-2.046084126,-0.142857143
EL CORP LTD,2002,28.273,,-0.142857143
OOH MEDIA GROUP LTD,2002,15.535,-0.125854993,-0.142857143
ANTEOTECH LTD,2003,5.037,-0.5995116,-0.142857143
ADSLOT LTD,2004,3.421,-1.908401769,-0.142857143
JUMBO INTERACTIVE LTD,2004,3.428,0.299896587,-0.142857143
TAKORADI LTD,2004,5.561,-0.727964352,-0.142857143
IMPRESS ENERGY LTD,2005,3.595,-0.229425807,-0.142857143
BLAZE MINERALS LIMITED,2005,9.337,-0.327826596,-0.142857143
INTL GOLDFIELDS LTD,2005,11.337,-0.098882335,-0.142857143
HANSEN TECHNOLOGIES LTD,2006,46.29,0.025171664,-0.142857143
