Player,DOB,height,weight
"Pelly, Pat",1877-11-12,183,NA
"Gourlay, Albert",1881-07-31,175,NA
"McNamara, Bill",1876-06-09,175,NA
"Webber, Fred",1883-04-28,178,72
"Lithgow, Bert",1881-03-19,NA,NA
"Marron, Sam",1884-02-07,173,NA
"Ross, Charlie",1878-08-12,NA,NA
"Gaynor, Jimmy",1875-05-22,NA,NA
"Scott, Fred",1874-04-11,178,74
"Crowe, Matt",1883-09-01,NA,NA
"Hogg, Norm",1883-06-01,NA,NA
"Cullen, Jim",1878-06-09,174,NA
"Sullivan, Joe",1877-02-01,NA,NA
"Ross, Gordon",1878-07-26,180,NA
"Stephenson, John",1881-12-29,171,67
"Prentice, Alex",1879-07-04,NA,NA
"Ryan, Chris",1879-11-03,184,88
"Gough, Alf",1884-06-04,183,82
"Barlow, Alex",1880-04-10,NA,NA
"Jacobson, Bob",1885-11-15,171,NA
"Orr, Billy",1883-05-17,177,NA
"Stivey, Sam",1881-03-15,170,NA
"Walsh, Bobby",1877-06-25,NA,NA
"Powell, Wally",1878-03-31,NA,NA
"Fox, Tom",1876-09-21,NA,NA
"McNulty, Pat",1872-02-25,NA,NA
"Watson, Tom",1874-01-01,NA,NA
"Lazarus, Barney",1879-12-18,NA,NA
"Martin, Jim",1884-08-20,173,85
"McKenzie, Wal",1879-02-18,178,NA
"Dougall, Andy",1884-05-22,180,NA
"Field, Frank",1879-10-02,173,NA
"Hainsworth, Herb",1881-05-27,180,NA
"Marr, Joe",1880-08-09,NA,NA
"Noonan, Paddy",1875-09-04,NA,NA
"Crisfield, Henry",1877-09-13,178,NA
"Leahy, Paddy",1874-05-16,NA,NA
"Dashwood, Rob",1882-01-02,170,NA
"Rigby, Harry",1878-01-09,173,NA
"Wickens, George",1878-03-07,NA,NA
"Maplestone, Charlie",1876-05-13,NA,NA
"Gardiner, Jack",1881-05-08,165,NA
"Todd, Jack",1881-04-15,NA,NA
"Morrison, Len",1872-12-23,NA,NA
"Pye, Harry",1880-08-10,NA,NA
"Powell, Harry",1878-07-22,170,64
"McFarlane, Jim",1876-09-15,174,NA
"Hart, Dick",1881-12-25,NA,NA
"Considine, Pat",1875-09-30,NA,NA
"Pettit, Bill",1881-01-11,NA,NA
"Evans, Harry",1879-09-04,174,NA
"Spears, Billy",1877-07-29,180,78
"McGann, George",1881-01-17,NA,NA
"Roberts, Simon",1876-12-12,NA,NA
"Dodds, Bill",1882-04-23,166,NA
"Sharkey, Bill",1873-09-20,NA,NA
"Daniel, Harry",1879-06-19,169,NA
"Schunke, Charlie",1879-03-21,168,NA
"Stewart, Charlie",1880-07-12,164,60
"McDonald, Rhoda",1878-04-29,180,NA
"Gomez, Frank",1878-08-17,179,76
"OCock, Wally",1875-06-17,175,74
"Loriot, Jim",1879-01-16,NA,NA
"Cornelius, George",1874-08-12,NA,NA
"Williams, Peter",1867-04-15,NA,NA
"Thompson, Arthur",1871-11-06,NA,NA
"Robinson, Jimmy",1881-11-15,NA,NA
"Raff, Charles",1878-10-09,NA,NA
"Casey, Bill",1872-12-18,NA,NA
"Stuckey, Bill",1873-07-27,NA,NA
"ODwyer, Gerald",1872-09-24,180,NA
"Lewis, Bill",1874-09-15,NA,NA
"Collins, Bill",1871-05-14,NA,NA
"Gilbert, Jack",1875-03-25,NA,NA
"Matthews, Jim",1880-06-04,175,74
"Bennett, Ned",1876-07-19,177,NA
"Bird, Bob",1875-06-17,NA,NA
"Stewart, Dick",1873-03-18,177,NA
"Campbell, Peter",1875-04-29,NA,NA
"Oliver, Charlie",1874-09-09,173,NA
"Curtis, Charlie",1878-12-17,171,NA
"Strickland, Bill",1882-05-27,178,NA
"Monagle, Billy",1876-11-26,NA,NA
"Walker, Dick",1872-08-10,179,73
"Thompson, Harry",1871-12-01,NA,NA
"Rapp, Victor",1881-04-27,NA,NA
"Cowell, George",1870-11-01,NA,NA
"Hooper, John",1878-03-17,NA,NA
"Lanigan, Denis",1874-05-18,NA,NA
"Lewis, Harry",1880-06-05,NA,NA
"Young, George",1878-10-19,NA,NA
"Gorsuch, Dick",1878-11-26,NA,NA
"McSpeerin, Artie",1880-02-26,174,NA
"Archer, Joe",1877-05-20,NA,NA
"Churchyard, Bill",1878-02-02,NA,NA
"Sweatman, Charles",1873-07-29,NA,NA
"Hearnden, Alf",1874-01-19,NA,NA
"Roberts, Jack",1867-01-02,NA,NA
"Dohrmann, Herman",1873-09-07,NA,NA
"Allender, Henry",1872-03-25,NA,NA
"Reekie, Jack",1871-03-12,NA,NA
"Dunne, Henry",1872-02-21,NA,NA
"Warde, George",1876-10-10,178,NA
"Pender, Jim",1877-07-03,175,73
"Donaghy, Mick",1877-11-14,193,92
"Vernon, Les",1880-05-29,175,NA
"Douglas, Jack",1872-11-06,NA,NA
"Weir, Bill",1874-08-23,178,NA
"Pender, Dan",1873-03-17,174,NA
"Balharry, Jim",1868-05-13,NA,NA
"Chapman, Sam",1876-04-26,180,72
"Breese, Chic",1872-03-21,NA,NA
"ODay, Tommy",1873-10-08,NA,NA
"Brown, Charlie",1873-08-28,NA,NA
"Patterson, Bill",1873-09-13,NA,NA
"Coucher, Jim",1874-12-22,NA,NA
"Manchester, Oscar",1878-04-14,NA,NA
"Moore, Alf",1870-03-21,NA,NA
"Meadowcroft, Des",1880-03-31,NA,NA
"Kinman, Tommy",1875-07-13,NA,NA
"Armstrong, Bob",1872-07-25,170,61
"Aitken, Jimmy",1872-05-15,NA,NA
"Lyons, Jim",1876-04-05,NA,NA
"Pender, Mick",1868-11-17,173,NA
"Barlow, Fred",1873-09-06,NA,NA
"Hannah, Brook",1874-09-28,NA,NA
"Cameron, Bob",1877-05-03,175,NA
"Morgan, Harry",1871-02-17,183,87
"Woodhouse, Bill",1873-09-14,180,NA
"Crane, Henry",1869-09-12,NA,NA
"Reid, Sam",1872-06-17,171,69
"Goonan, Jim",1873-07-26,NA,NA
"Arnott, Billy",1873-04-07,NA,NA
"Caffery, Jim",1872-05-07,183,88
"Frost, Jack",1870-12-29,NA,NA
"Buck, Otto",1876-11-15,NA,NA
"Lowenthal, Herbie",1876-08-12,NA,NA
"Cummins, Arthur",1876-08-19,NA,NA
"Blake, Tom",1872-07-15,NA,NA
"McPetrie, Henry",1877-03-14,NA,NA
"Paton, Joe",1878-09-05,NA,NA
"Howard, Harry",1873-09-01,NA,NA
"Heffernan, Ted",1869-05-16,NA,NA
"Gyles, Harry",1880-06-28,NA,NA
"Patterson, Alby",1875-03-04,NA,NA
"Ahern, Bill",1865-03-02,170,64
"Johnston, George",1877-02-12,174,NA
"Pendlebury, Scott",1988-01-07,191,90
"Sidebottom, Steele",1991-01-02,184,85
"Maynard, Brayden",1996-09-20,189,90
"Elliott, Jamie",1992-08-21,178,81
"Moore, Darcy",1996-01-25,203,100
"Hoskin-Elliott, Will",1993-09-02,186,82
"Howe, Jeremy",1990-06-29,190,86
"Cox, Mason",1991-03-14,211,105
"Daicos, Josh",1998-11-26,178,76
"Noble, John",1997-03-25,180,72
"Quaynor, Isaac",2000-01-15,180,83
"Cameron, Darcy",1995-07-18,204,100
"McCreery, Beau",2001-04-19,186,80
"Daicos, Nick",2003-01-03,184,73
"Lipinski, Patrick",1998-07-17,187,84
"Hill, Bobby",2000-02-09,175,66
"Macrae, Finlay",2002-03-13,186,78
"Schultz, Lachie",1997-11-30,178,78
"Richards, Joe",1999-11-23,177,71
"Dean, Charlie",2001-06-19,195,86
"Parker, Wil",2002-05-29,183,82
"Allan, Edward",2004-05-26,194,82
"Bytel, Jack",2000-03-14,189,78
"Long, Ned",2003-02-05,194,92
"de Goey, Jordan",1996-03-15,188,92
"Harrison, Harvey",2003-11-10,181,83
"Sullivan, Lachlan",1997-09-25,180,81
"Markov, Oleg",1996-05-08,188,82
"McInnes, Reef",2002-12-12,194,87
"Kreuger, Nathan",1999-06-25,196,88
"Mihocek, Brody",1993-02-04,192,97
"Jiath, Tew",2005-03-02,188,72
"Johnson, Ash",1997-10-06,193,87
"Mitchell, Tom",1993-05-31,182,84
"Murphy, Nathan",1999-12-15,190,79
"Ginnivan, Jack",2002-12-09,183,77
"Adams, Taylor",1993-09-20,181,83
"Ryan, Jakob",2004-09-20,189,80
"Bianco, Trent",2001-01-20,178,70
"Kelly, Will",2000-08-16,194,84
"Ruscoe, Trey",2001-11-03,190,90
"Wilson, Tom",1997-06-24,194,77
"Carmichael, Josh",1999-09-23,190,89
"Henry, Oliver",2002-07-29,186,72
"Brown, Callum",1998-04-27,178,77
"Chugg, Isaac",2002-02-26,181,84
"Madgen, Jack",1993-04-25,192,98
"Poulter, Caleb",2002-10-12,192,79
"Begg, Aiden",2002-10-08,197,90
"Grundy, Brodie",1994-04-15,203,100
"Roughead, Jordan",1990-11-03,200,101
"Thomas, Josh",1991-10-01,178,78
"Mayne, Chris",1988-11-02,188,84
"Rantall, Jay",2001-06-10,184,82
"Tohill, Anton",1999-12-14,191,85
"Lynch, Max",1998-09-12,200,99
"Sier, Brayden",1997-12-12,191,88
"Greenwood, Levi",1989-02-19,181,87
"Treloar, Adam",1993-03-09,182,89
"Stephenson, Jaidyn",1999-01-15,188,78
"Varcoe, Travis",1988-04-10,180,84
"Phillips, Tom",1996-05-07,187,79
"Appleby, Flynn",1999-01-21,187,82
"Reid, Ben",1989-04-29,196,98
"Dunn, Lynden",1987-05-14,192,102
"Wills, Rupert",1993-05-20,191,89
"Broomhead, Tim",1994-03-22,185,80
"Scharenberg, Matt",1995-09-18,191,87
"Bosenavulagi, Atu",2000-09-17,180,82
"Wells, Daniel",1985-02-03,181,79
"Langdon, Tom",1994-06-09,190,85
"Goldsack, Tyson",1987-05-22,193,93
"Oxley, Adam",1992-11-01,192,78
"Murray, Sam",1997-09-02,187,86
"Blair, Jarryd",1990-04-14,174,81
"Smith, Josh",1994-01-02,180,80
"Kirby, Kayle",1998-10-26,182,89
"Ramsay, Jackson",1994-11-20,184,82
"Schade, Henry",1993-10-08,197,89
"White, Jesse",1988-01-09,196,102
"Cloke, Travis",1987-03-05,196,105
"Brown, Nathan",1988-12-17,196,99
"Williams, Marley",1993-07-22,181,83
"Marsh, Jonathon",1995-10-17,193,87
"Sinclair, Ben",1991-10-01,183,80
"Macaffer, Brent",1988-02-29,187,90
"Witts, Jarrod",1992-09-13,209,111
"Toovey, Alan",1987-03-23,189,89
"Goodyear, Matthew",1996-07-20,185,79
"Gault, Corey",1992-10-28,200,97
"Swan, Dane",1984-02-25,185,93
"Kennedy, Ben",1994-03-03,175,76
"Dwyer, Sam",1986-08-29,180,76
"Lumumba, Heritier",1986-11-15,188,91
"Ball, Luke",1984-05-25,184,83
"Keeffe, Lachlan",1990-04-14,204,102
"Young, Clinton",1986-02-16,189,88
"Martin, Kyle",1990-09-17,178,77
"Maxwell, Nick",1983-06-03,193,93
"Clarke, Martin",1987-11-13,181,85
"Didak, Alan",1983-02-15,184,85
"Shaw, Heath",1985-11-27,183,86
"Lynch, Quinten",1983-01-24,192,103
"Krakouer, Andrew",1983-02-04,176,76
"Mooney, Caolan",1993-01-25,184,76
"Jolly, Darren",1981-11-06,200,108
"Johnson, Ben",1981-04-05,183,84
"Tarrant, Chris",1980-09-18,193,94
"Wellingham, Sharrod",1988-07-07,185,85
"Dawes, Chris",1988-05-16,193,105
"Young, Tom",1992-04-26,191,91
"Buckley, Simon",1987-04-18,190,93
"Ugle, Kirk",1992-05-06,172,73
"Yagmoor, Peter",1993-10-20,180,82
"Rounds, Luke",1991-02-10,181,75
"Davis, Leon",1981-06-17,177,80
"Brown, Leigh",1982-02-23,194,101
"McCarthy, John",1989-11-19,189,82
"Dick, Brad",1988-07-25,181,76
"Fraser, Josh",1982-01-05,202,100
"Anthony, John",1988-01-19,192,92
"Prestigiacomo, Simon",1978-01-31,193,96
"Lockyer, Tarkyn",1979-10-30,178,81
"Medhurst, Paul",1981-12-11,179,84
"Barham, Jaxson",1988-05-20,182,76
"Rocca, Anthony",1977-08-15,195,105
"Cox, Shannon",1986-03-07,188,94
"Cook, Ryan",1988-02-16,186,82
"Stanley, Danny",1988-02-18,187,90
"Wakelin, Shane",1974-08-12,191,92
"Shaw, Rhyce",1981-10-16,182,81
"Burns, Scott",1974-12-23,181,85
"Lonie, Ryan",1983-03-04,190,87
"Holland, Brodie",1980-01-03,180,80
"Egan, Chris",1986-10-26,187,81
"Rusling, Sean",1986-10-06,190,93
"Clement, James",1976-09-04,190,95
"Richards, Guy",1983-03-21,201,95
"Licuria, Paul",1978-01-04,179,82
"Iles, Sam",1987-06-19,183,76
"Nicholls, Daniel",1987-03-02,177,70
"Rowe, Julian",1985-05-25,187,80
"Cloke, Jason",1982-05-06,189,90
"Davies, Ben",1986-02-10,187,81
"Morrison, Chad",1978-03-29,184,83
"Fanning, David",1984-07-20,204,97
"Iacobucci, Adam",1986-01-17,180,83
"Woewodin, Shane",1976-07-12,185,83
"Lokan, Matthew",1982-11-20,185,94
"Walker, Tristen",1984-04-11,195,100
"Cole, Richard",1983-07-15,186,97
"Hall, Brent",1986-01-07,198,97
"Williams, Andrew",1979-03-01,183,83
"McGough, Mark",1984-06-22,188,87
"King, David",1985-02-02,183,82
"McKee, Steven",1978-06-20,199,104
"Crow, Justin",1983-07-16,196,92
"Shackleton, Luke",1984-11-17,179,88
"Mullins, Luke",1984-12-24,187,82
"Kinnear, Ben",1979-02-27,193,98
"Nixon, Bo",1984-07-25,191,88
"Davidson, Tom",1983-02-03,192,87
"Betheras, Rupert",1975-11-23,181,86
"Freeborn, Glenn",1973-02-06,183,83
"Davis, Nick",1980-03-30,184,85
"Steinfort, Carl",1977-04-01,191,87
"Richardson, Mark",1972-10-31,196,99
"Adkins, Damien",1981-01-09,181,75
"Dimattina, Andrew",1977-11-09,183,89
"Cummings, Scott",1974-01-18,194,105
"Lane, Tyson",1976-08-25,183,86
"Tuckey, Brent",1979-08-27,192,94
"Ukovic, Andrew",1978-11-23,189,79
"Hill, Andrew",1980-06-11,191,92
"Roach, Danny",1982-01-06,191,85
"Brown, Gavin",1967-09-25,184,86
"Crosisca, Gavin",1968-09-15,188,88
"Williams, Paul",1973-04-03,177,83
"Orchard, Mark",1976-04-02,175,75
"Wasley, James",1979-07-19,180,84
"Rocca, Saverio",1973-11-20,195,112
"Watson, Shane",1974-02-17,186,90
"Jacotine, Craig",1980-06-21,178,78
"Oborne, Brad",1980-06-19,176,80
"Baynes, Dale",1980-11-29,189,93
"Smith, Bradley",1977-07-07,198,102
"Patterson, Stephen",1971-01-04,177,75
"Schauble, Andrew",1976-11-17,193,93
"Crow, Scott",1973-12-18,179,80
"Olarenshaw, Ricky",1973-02-01,179,80
"Tape, Jamie",1974-04-05,188,89
"Monkhorst, Damian",1969-08-21,202,108
"Raso, Frankie",1979-09-12,176,73
"Wild, Jason",1976-02-10,182,78
"Godden, Luke",1978-09-21,180,80
"Venables, Cameron",1975-10-29,193,88
"King, Clinton",1978-03-24,179,76
"Fuller, Brad",1978-08-08,174,70
"Gardiner, Michael",1978-03-22,197,92
"McDonald, Alex",1970-02-13,186,82
"Wright, Graham",1968-06-06,178,84
"Francis, Tony",1969-04-01,171,74
"Liddell, Chad",1977-01-21,185,80
"Osborne, Richard",1964-06-16,182,86
"Mahoney, Josh",1977-10-31,180,82
"Russell, Scott",1970-05-07,180,75
"Francis, Matthew",1970-08-29,196,86
"Mangin, Stuart",1977-02-08,190,95
"Curran, Chris",1974-08-03,178,76
"Gibson, Shannon",1975-11-07,183,77
"Pugsley, Andrew",1978-07-25,186,81
"Sharkey, Paul",1974-06-08,190,92
"James, Aaron",1976-10-31,194,102
"Barnett, John",1975-08-15,175,75
"Cassidy, Brad",1976-07-25,185,75
"Griffin, Dwayne",1977-02-28,182,76
"AhMat, Robert",1977-07-19,175,80
"Taylor, Jason",1968-09-23,196,96
"Walker, Lee",1973-02-07,197,97
"Kelly, Craig",1966-06-16,190,95
"Richardson, Alan",1965-05-17,180,83
"Pitt, Steven",1973-07-22,188,89
"Wilson, Ben",1977-02-25,191,87
"Hassall, Jon",1973-08-14,174,77
"Pyman, Robert",1971-10-06,180,79
"Bevan, Jason",1978-04-18,180,78
"Pert, Gary",1965-05-28,188,94
"Brereton, Dermott",1964-08-19,186,89
"Kerrison, Shane",1965-03-28,180,81
"Christian, Michael",1964-08-21,191,96
"Butcher, Kent",1973-11-05,180,82
"Tranquilli, Andrew",1972-04-21,186,83
"Ballantyne, Jon",1969-07-29,190,92
"Hider, Nick",1971-08-31,174,72
"Shaw, Tony",1960-07-23,170,80
"Fraser, Mark",1971-02-04,183,78
"Woods, Tony",1969-07-02,185,90
"Houlihan, Damian",1975-07-30,188,93
"Curley, Todd",1973-01-14,188,83
"Plain, Bradley",1969-09-25,184,82
"Ryan, Stephen",1970-07-06,190,86
"Sandford, Glenn",1971-09-20,193,99
"Staritski, Justin",1970-07-10,181,78
"Morwood, Shane",1961-12-01,191,83
"McKeown, Ron",1967-05-10,188,96
"Turner, Jamie",1962-08-12,183,80
"Gayfer, Michael",1965-08-17,186,90
"Saunders, Darren",1965-08-16,180,80
"Daicos, Peter",1961-09-20,184,84
"McMullin, Ian",1964-09-01,182,85
"Croall, Jason",1968-01-16,188,82
"Manson, James",1966-11-02,194,104
"Tranter, Brendan",1971-04-21,177,75
"Hecker, Terry",1970-01-06,183,74
"Millane, Darren",1965-08-09,188,89
"Tuddenham, Paul",1967-09-14,184,84
"Banks, Denis",1959-06-16,185,81
"Barwick, Doug",1962-02-06,173,84
"Russell, Kym",1968-04-11,180,78
"Tarpey, Andrew",1965-07-25,196,95
"Anderson, Stephen",1968-01-17,170,70
"Taylor, Brian",1962-04-10,191,91
"Keays, Terry",1970-05-03,186,85
"Hrysoulakis, Athas",1969-01-05,184,83
"Cloke, David",1955-01-28,196,100
"Robertson, David",1962-08-15,178,78
"Taylor, Simon",1970-12-13,183,79
"Hawke, Paul",1964-07-04,182,81
"Fellowes, Wes",1961-03-07,200,106
"Wrensted, Murray",1964-08-26,174,85
"Perkins, Mark",1964-05-23,179,69
"Atkins, Graeme",1963-10-30,178,70
"Bayliss, Mark",1965-12-12,193,90
"Mrakov, John",1968-11-17,189,91
"Orval, Mark",1968-03-19,188,83
"Rizonico, Paul",1966-02-16,183,73
"Elshaug, Tony",1960-07-19,178,73
"Bradbury, Peter",1958-07-02,183,84
"Howard, Glenn",1962-11-17,185,80
"Doyle, Cameron",1964-07-12,180,74
"Yorgey, Brett",1960-10-13,183,82
"Beers, Mark",1965-08-15,180,78
"Morwood, Paul",1959-03-02,182,71
"Faull, Greg",1969-02-26,180,83
"Harrington, Tim",1963-09-19,188,84
"Gloury, Brett",1968-12-03,193,86
"Dickson, Russell",1964-01-28,175,70
"Seow, Dannie",1967-04-02,188,80
"Adams, Peter",1964-06-20,178,76
"Lockman, Michael",1963-08-29,185,85
"Brindley, Neil",1967-07-27,180,81
"Barham, Ricky",1958-11-28,183,76
"Phillips, Greg",1959-03-26,188,98
"Smith, Greg",1957-03-25,180,73
"Burgess, Tony",1961-02-13,188,83
"Handley, Darren",1963-12-18,177,76
"Daniels, Greg",1963-08-27,180,76
"Collins, Darren",1967-11-15,177,78
"Edmonds, Michael",1966-11-13,178,76
"Picken, Bill",1956-06-07,185,81
"Pritchard, Geoffrey",1966-12-09,201,96
"Hyslop, Sandy",1964-05-30,185,77
"Sumner, Gordon",1965-02-10,177,74
"Shaw, Neville",1964-10-04,175,73
"Allan, Graeme",1954-07-23,183,83
"McCormack, Peter",1956-08-01,188,86
"Witts, Andrew",1961-08-22,183,80
"Erwin, Michael",1965-12-10,178,74
"Kelly, Tony",1963-02-24,175,70
"Dalkin, Chris",1962-03-03,191,80
"Eade, Allen",1960-09-11,189,82
"Browne, Murray",1963-01-20,183,76
"Twomey, David",1961-02-21,185,83
"Taylor, Michael",1953-12-30,183,84
"Shaw, Derek",1959-03-03,194,89
"Andrews, Ron",1955-05-13,191,87
"McAllester, Jim",1959-04-16,190,85
"Woodhall, Dale",1961-03-11,183,80
"McLean, Glenn",1961-07-10,194,91
"Lovell, Noel",1961-09-26,178,76
"Knight, Scott",1959-04-28,189,85
"Lawson, Mark",1962-05-31,175,85
"Keenan, Tony",1964-05-06,193,85
"Miles, Geoff",1962-01-10,185,85
"Russell, Anthony",1961-01-13,188,83
"Smith, Andrew",1960-08-28,180,73
"Weideman, Mark",1961-12-30,188,92
"McLaine, Darren",1961-10-11,183,79
"Stewart, Craig",1956-09-15,193,99
"Hannebery, Mark",1957-10-08,179,77
"Annear, John",1961-06-17,178,80
"Herbert, Carl",1964-05-28,170,67
"Beers, Tony",1962-11-07,183,83
"Teasdale, Graham",1955-06-26,193,92
"Atkin, Stuart",1957-05-16,196,96
"Cooper, Brett",1959-08-11,180,89
"Edwards, Allan",1957-11-12,188,90
"Floyd, Tommy",1960-10-07,170,68
"Kink, Rene",1956-11-22,183,91
"Fyffe, Greg",1963-04-03,182,74
"Moore, Peter",1957-01-11,198,97
"Cooper, Ian",1954-06-12,183,81
"Magro, Stan",1954-07-28,177,80
"Lovett, Wally",1961-12-15,175,70
"Domburg, Terry",1960-07-11,185,80
"Ryan, Paul",1962-05-23,180,73
"Dreher, Mark",1961-03-27,183,83
"Worthington, Kevin",1953-05-25,189,88
"Peart, Neil",1958-10-05,188,95
"Towan, Gordon",1954-03-24,188,83
"Carter, Peter",1959-04-29,178,72
"Shaw, Ray",1954-04-27,175,70
"Brewer, Ross",1953-08-14,188,75
"Irwin, Warwick",1952-06-03,182,80
"Morris, Kevin",1950-08-20,180,84
"Wearmouth, Ronnie",1950-07-17,175,71
"Young, David",1954-04-04,179,81
"Carlson, Leigh",1958-01-15,178,76
"Austen, Geoffrey",1953-10-13,194,86
"Herbert, Des",1959-03-15,183,81
"Evans, Barry",1963-10-10,175,77
"Ireland, Andrew",1953-03-07,191,81
"Woolnough, Michael",1952-09-24,185,81
"Low, Ian",1954-03-17,183,86
"Davis, Allan",1948-09-29,180,78
"Warren, Mick",1959-06-19,185,86
"Johnston, Russell",1960-02-10,193,85
"Anderson, Graeme",1953-01-05,185,79
"Hummel, Jon",1957-01-31,177,72
"Roach, Stephen",1958-06-20,183,89
"Wilmot, Grant",1956-10-15,182,76
"Brine, David",1960-04-04,185,77
"Horsburgh, Mike",1958-01-15,197,97
"Perry, Chris",1953-10-24,191,84
"Wight, Terry",1956-11-11,183,79
"Manassa, Phil",1956-01-29,178,79
"Valli, Bill",1950-04-16,171,71
"Betts, Gerald",1954-10-05,187,85
"Price, Barry",1949-03-08,175,73
"Oborne, Rod",1953-09-06,183,76
"Richardson, Wayne",1946-12-08,179,76
"Thompson, Len",1947-08-27,200,96
"Dunne, Ross",1948-02-25,193,82
"Richardson, Max",1948-12-24,183,87
"Carman, Phil",1950-09-04,188,87
"Bond, Shane",1954-06-20,173,72
"Whitcroft, Greg",1960-04-06,183,83
"Atkinson, Alan",1951-10-20,182,81
"Philippe, Terry",1957-07-16,188,89
"Dellamarta, John",1954-08-26,185,84
"Gordon, Wayne",1954-07-11,189,83
"Carroll, Ted",1955-07-11,183,78
"Sandilands, Laurie",1949-04-30,188,87
"Batt, Murrie",1953-10-06,193,94
"Cole, Brian",1956-08-17,178,81
"Clifford, Stephen",1956-09-18,177,69
"Hyde, Robert",1954-11-01,183,85
"Gott, Doug",1950-06-30,191,85
"Marshall, Peter",1954-12-09,171,68
"Wise, John",1954-03-19,170,67
"Kekovich, Sam",1950-03-11,187,95
"Jessop, Russell",1957-09-25,180,79
"Pritchard, Lex",1954-06-16,180,83
"Grose, Kevin",1954-06-18,180,80
"Moyle, Graeme",1954-07-01,188,85
"Tuddenham, Des",1943-01-29,180,84
"Foley, Kerry",1953-11-13,185,84
"Gonsalves, Bruce",1956-12-26,198,100
"Board, Jim",1956-02-17,180,76
"Kimmorley, Col",1956-08-24,188,86
"Williams, John",1947-07-17,189,87
"Greening, John",1950-12-25,185,83
"McDonald, Lachie",1956-11-03,188,87
"Holmes, Allan",1952-07-19,NA,NA
"OCallaghan, Denis",1949-02-07,178,80
"Dean, Robert",1950-10-20,189,83
"Heard, Bob",1949-02-09,202,97
"Shephard, Graeme",1949-03-08,175,76
"Saltmarsh, Ray",1952-10-18,185,81
"Barrot, Wes",1953-10-08,179,78
"Cranage, Paul",1953-01-16,183,77
"Beck, Greg",1956-04-11,170,66
"Cahill, Terry",1955-10-25,182,77
"Coles, Henry",1951-03-11,171,73
"Delahunty, Mike",1952-09-13,185,84
"Browne, Michael",1954-01-26,194,86
"Dunstan, Graeme",1952-12-29,189,80
"Clifton, Jeff",1949-02-21,193,84
"Salmon, Daryl",1953-08-25,183,75
"Bisset, George",1943-03-10,168,70
"Morse, Colin",1955-06-29,188,80
"Jenkin, Graeme",1945-09-05,193,104
"Adamson, Lee",1946-06-27,185,76
"OSullivan, Danny",1952-08-16,173,68
"Reichman, Graeme",1951-11-04,183,80
"Britt, Con",1947-08-10,179,73
"Kaine, Laurie",1952-02-24,177,76
"Eakins, Peter",1947-02-16,189,86
"Rose, Robert",1952-02-06,180,72
"Pettigrew, Peter",1950-09-09,177,73
"McOrist, Ian",1949-11-06,175,70
"Potter, Ted",1944-11-11,187,79
"McGaw, Wes",1950-06-06,185,75
"Tredrea, Gary",1951-10-06,175,73
"Stevens, Paul",1953-07-23,185,74
"McKenzie, Brian",1947-03-31,183,81
"Vickery, John",1951-07-06,184,78
"Waters, Terry",1943-12-14,188,85
"Walker, John",1951-07-13,185,87
"Stevens, Robert",1951-05-30,193,83
"Parkinson, John",1944-11-07,179,79
"OBrien, Denis",1952-04-10,178,72
"Watt, Ricky",1946-10-04,183,86
"Tully, Colin",1945-05-20,179,73
"Wheadon, David",1948-05-07,177,74
"Lawrie, Gordon",1950-12-03,189,89
"Hibbert, Danny",1948-11-16,178,73
"Neave, Bruce",1949-07-02,189,86
"Hug, Ernie",1944-03-04,193,87
"Outtram, Bruce",1949-09-07,182,80
"Patterson, Peter",1945-10-03,180,71
"Slater, Mark",1951-07-11,180,71
"Urquhart, Max",1942-01-07,182,83
"Graham, Ian",1943-01-05,187,80
"Farmer, Bob",1947-06-02,183,78
"Alexander, Terry",1944-06-08,194,92
"Le Gassick, Dennis",1947-03-12,185,80
"Moylan, Ron",1947-09-26,180,76
"Green, Jack",1947-08-02,185,86
"Whelan, Shane",1946-06-15,188,81
"Ellis, Vaughan",1947-08-03,191,89
"Pitts, Jeff",1950-07-12,175,73
"Bell, John",1949-08-30,183,71
"Walker, Paul",1950-11-03,183,76
"Hill, Laurie",1942-07-18,180,76
"Clark, Len",1947-01-30,180,76
"Mugeli, Barry",1948-03-19,180,81
"Boyne, Peter",1944-05-28,185,81
"Brady, Bernie",1947-08-31,193,86
"Wallis, Gary",1946-07-12,174,70
"Pitt, Max",1946-01-04,185,81
"Searl, Doug",1947-03-22,192,83
"Montgomery, Ian",1944-05-03,183,81
"Rose, Kevin",1939-06-04,184,86
"Hutchesson, Errol",1939-09-07,175,74
"Roper, Warren",1940-09-30,188,81
"Leslie, Barry",1946-04-27,188,83
"Gabelich, Ray",1933-07-03,193,109
"Henderson, John",1938-08-31,187,91
"Steer, Trevor",1938-10-11,188,85
"Bremner, Ian",1947-04-11,180,81
"Bone, Michael",1942-10-03,168,73
"Norman, David",1942-04-01,175,68
"Telford, Dick",1945-04-02,175,70
"Chapman, Bert",1942-03-14,170,65
"Ballantyne, Max",1944-08-04,183,80
"Turner, Ken",1935-06-30,178,76
"Gray, Brian",1938-02-21,175,76
"Mahon, John",1940-02-12,180,84
"Wright, Duncan",1940-08-28,180,73
"Wadham, Paul",1943-03-31,196,98
"McLean, Kevin",1942-09-10,185,86
"Marshall, Peter",1942-12-31,182,75
"Dalton, Denis",1942-10-10,170,70
"Huppatz, Kevin",1945-03-31,178,73
